"codigo_ibge";"municipio";"uf_sigla";"porte_populacional";"ano_2020";"media_pos";"perfil_mudanca"
"4314076";"PASSO DO SOBRADO";"RS";"Pequeno Porte I";"3,47601498688186e+00";"1,51288685387522e+02";"1. Despertados (Efeito Indutor)"
"4314100";"PASSO FUNDO";"RS";"Grande Porte";"1,38765304013290e+01";"2,91250281967330e+01";"1. Despertados (Efeito Indutor)"
"4314134";"PAULO BENTO";"RS";"Pequeno Porte I";"3,75564820811353e+01";"1,76018255159062e+02";"1. Despertados (Efeito Indutor)"
"4314159";"PAVERAMA";"RS";"Pequeno Porte I";"1,28442199813900e+01";"2,04522965696284e+01";"1. Despertados (Efeito Indutor)"
"4314209";"PEDRO OSORIO";"RS";"Pequeno Porte I";"7,77088377531639e+01";"1,76736917245590e+02";"1. Despertados (Efeito Indutor)"
"4314308";"PEJUCARA";"RS";"Pequeno Porte I";"4,68683432257533e+01";"6,82239171506210e+01";"1. Despertados (Efeito Indutor)"
"4314407";"PELOTAS";"RS";"Grande Porte";"2,23380886372068e+01";"2,94638841201137e+01";"2. Constantes (Sustentabilidade)"
"4314456";"PINHAL";"RS";"Pequeno Porte I";"3,68162852890947e+01";"1,02823836558642e+02";"1. Despertados (Efeito Indutor)"
"4314464";"PINHAL DA SERRA";"RS";"Pequeno Porte I";"2,26470170044916e+01";"0,00000000000000e+00";"4. Efeito Substituição (Retração Local)"
"4314472";"PINHAL GRANDE";"RS";"Pequeno Porte I";"8,70878061090453e+01";"1,13325662513340e+02";"1. Despertados (Efeito Indutor)"
"4314498";"PINHEIRINHO DO VALE";"RS";"Pequeno Porte I";"6,28975385974781e+00";"0,00000000000000e+00";"4. Efeito Substituição (Retração Local)"
"4314506";"PINHEIRO MACHADO";"RS";"Pequeno Porte I";"3,31828734269308e+00";"9,14122707828397e+00";"1. Despertados (Efeito Indutor)"
"4314548";"PINTO BANDEIRA";"RS";"Pequeno Porte I";"5,69349003388127e+00";"2,37301032602651e+00";"2. Constantes (Sustentabilidade)"
"4314605";"PIRATINI";"RS";"Pequeno Porte I";"1,82220798059210e+01";"1,33868144769382e+02";"1. Despertados (Efeito Indutor)"
"4314753";"POCO DAS ANTAS";"RS";"Pequeno Porte I";"7,30807727854878e+01";"1,22016179784223e+02";"1. Despertados (Efeito Indutor)"
"4314779";"PONTAO";"RS";"Pequeno Porte I";"1,93596179804297e+00";"1,14962295399310e+02";"1. Despertados (Efeito Indutor)"
"4314803";"PORTAO";"RS";"Pequeno Porte II";"5,73660723961490e+00";"1,34603225576606e+01";"1. Despertados (Efeito Indutor)"
"4314902";"PORTO ALEGRE";"RS";"Metrópole";"3,03855809517032e+01";"3,69590053518163e+01";"2. Constantes (Sustentabilidade)"
"4315008";"PORTO LUCENA";"RS";"Pequeno Porte I";"3,87836293505434e+01";"6,46788990825688e-02";"4. Efeito Substituição (Retração Local)"
"4315057";"PORTO MAUA";"RS";"Pequeno Porte I";"1,50261548733872e+01";"4,76289784788713e+01";"1. Despertados (Efeito Indutor)"
"4315073";"PORTO VERA CRUZ";"RS";"Pequeno Porte I";"1,54138736797862e+02";"4,90175288191287e+01";"4. Efeito Substituição (Retração Local)"
"4315107";"PORTO XAVIER";"RS";"Pequeno Porte I";"5,51983454077982e+01";"1,00474740104702e+02";"1. Despertados (Efeito Indutor)"
"4315131";"POUSO NOVO";"RS";"Pequeno Porte I";"8,30062184597628e+01";"1,46602181890011e+02";"1. Despertados (Efeito Indutor)"
