"codigo_ibge";"municipio";"uf_sigla";"porte_populacional";"ano_2020";"media_pos";"perfil_mudanca"
"3302809";"MENDES";"RJ";"Pequeno Porte I";"10,356398678142358705";"0,00866448738973870";"4. Efeito Substituição (Retração Local)"
"3302858";"MESQUITA";"RJ";"Grande Porte";"26,771008802424113071";"3,94975660521392946";"4. Efeito Substituição (Retração Local)"
"3302908";"MIGUEL PEREIRA";"RJ";"Pequeno Porte II";"10,400562131043013636";"57,62047721515489229";"1. Despertados (Efeito Indutor)"
"3303005";"MIRACEMA";"RJ";"Pequeno Porte II";"50,314000575836885787";"71,03311512872687672";"1. Despertados (Efeito Indutor)"
"3303104";"NATIVIDADE";"RJ";"Pequeno Porte I";"0,073982308866822055";"4,94684604117681737";"2. Constantes (Sustentabilidade)"
"3303203";"NILOPOLIS";"RJ";"Grande Porte";"29,232070007056879746";"29,69607242801991731";"2. Constantes (Sustentabilidade)"
"3303401";"NOVA FRIBURGO";"RJ";"Grande Porte";"13,302327871285502425";"20,32854575629251315";"2. Constantes (Sustentabilidade)"
"3303500";"NOVA IGUACU";"RJ";"Grande Porte";"11,027332985049593361";"3,19005009477643231";"4. Efeito Substituição (Retração Local)"
"3303609";"PARACAMBI";"RJ";"Pequeno Porte II";"29,524321657695978161";"64,25253079776184961";"1. Despertados (Efeito Indutor)"
"3303708";"PARAIBA DO SUL";"RJ";"Pequeno Porte II";"9,734420937563283971";"1,83344412249703659";"4. Efeito Substituição (Retração Local)"
"3303807";"PARATY";"RJ";"Pequeno Porte II";"73,550784446345531364";"175,63117294785490685";"1. Despertados (Efeito Indutor)"
"3303856";"PATY DO ALFERES";"RJ";"Pequeno Porte II";"33,856623708014836893";"152,62753732380593874";"1. Despertados (Efeito Indutor)"
"3303906";"PETROPOLIS";"RJ";"Grande Porte";"24,232512365730311643";"16,99904759149954359";"2. Constantes (Sustentabilidade)"
"3303955";"PINHEIRAL";"RJ";"Pequeno Porte II";"13,864910490972988555";"46,13871953013594407";"1. Despertados (Efeito Indutor)"
"3304102";"PORCIUNCULA";"RJ";"Pequeno Porte I";"68,545477699178789521";"91,94298881409650903";"1. Despertados (Efeito Indutor)"
"3304110";"PORTO REAL";"RJ";"Pequeno Porte II";"11,821821262448763079";"26,38257509898460995";"1. Despertados (Efeito Indutor)"
"3304128";"QUATIS";"RJ";"Pequeno Porte I";"33,099983520352225241";"64,69246337651662770";"1. Despertados (Efeito Indutor)"
"3304144";"QUEIMADOS";"RJ";"Grande Porte";"6,073197701425907979";"16,19115073914719716";"1. Despertados (Efeito Indutor)"
"3304201";"RESENDE";"RJ";"Grande Porte";"26,430402682895998367";"28,96089013862577843";"2. Constantes (Sustentabilidade)"
"3304300";"RIO BONITO";"RJ";"Médio Porte";"8,606359633768605022";"50,62429108120288390";"1. Despertados (Efeito Indutor)"
"3304409";"RIO CLARO";"RJ";"Pequeno Porte I";"130,916428922574851867";"187,80507373930879567";"1. Despertados (Efeito Indutor)"
"3304508";"RIO DAS FLORES";"RJ";"Pequeno Porte I";"157,675997692626111757";"196,97350391059936214";"1. Despertados (Efeito Indutor)"
"3304524";"RIO DAS OSTRAS";"RJ";"Grande Porte";"43,739141297547362797";"53,63782872997300899";"2. Constantes (Sustentabilidade)"
"3304557";"RIO DE JANEIRO";"RJ";"Metrópole";"47,531478493546941877";"37,65383752661337979";"2. Constantes (Sustentabilidade)"
"3304607";"SANTA MARIA MADALENA";"RJ";"Pequeno Porte I";"8,333517737727017760";"9,48787683342351684";"2. Constantes (Sustentabilidade)"
"3304706";"SANTO ANTONIO DE PADUA";"RJ";"Pequeno Porte II";"7,605517600696655833";"19,00057143198490195";"1. Despertados (Efeito Indutor)"
"3304755";"SAO FRANCISCO DE ITABAPOANA";"RJ";"Pequeno Porte II";"1,334866572743105273";"2,30675492304413288";"2. Constantes (Sustentabilidade)"
