"exercicio";"uf";"origem";"valor_nominal_final";"valor_real_final"
"2023";"SC";"Recurso Próprio (Estadual)";"66797765,75";"69715103,3679346740"
"2023";"SC";"Emendas Parlamentares (Cultura)";"400000,00";"417469,6718381463"
"2023";"SC";"Lei Paulo Gustavo (LPG)";"55179447,24";"57589364,3287327811"
"2023";"SE";"Recurso Próprio (Estadual)";"106416917,42";"111064588,9833863080"
"2023";"SE";"Emendas Parlamentares (Cultura)";"6034243,50";"6297784,1343411691"
"2023";"SP";"Recurso Próprio (Estadual)";"1153018778,55";"1203375927,7612221241"
"2023";"SP";"Lei Paulo Gustavo (LPG)";"352395000,00";"367785562,5185089707"
"2023";"TO";"Recurso Próprio (Estadual)";"24351434,94";"25414963,8829744309"
"2023";"TO";"Lei Paulo Gustavo (LPG)";"1499200,00";"1564676,3300493725"
"2024";"AC";"Recurso Próprio (Estadual)";"34830086,43";"34830086,4299999997"
"2024";"AC";"Lei Paulo Gustavo (LPG)";"23948470,81";"23948470,8099999987"
"2024";"AC";"PNAB (Aldir Blanc 2)";"4065688,79";"4065688,7900000000"
"2024";"AL";"Recurso Próprio (Estadual)";"37707716,15";"37707716,1499999985"
"2024";"AL";"Lei Paulo Gustavo (LPG)";"2947079,16";"2947079,1600000001"
"2024";"AL";"PNAB (Aldir Blanc 2)";"22488148,39";"22488148,3900000006"
"2024";"AM";"Recurso Próprio (Estadual)";"546290443,86";"546290443,8600000143"
"2024";"AM";"Lei Paulo Gustavo (LPG)";"6428784,80";"6428784,7999999998"
"2024";"AM";"PNAB (Aldir Blanc 2)";"822900,85";"822900,8500000000"
"2024";"AP";"Recurso Próprio (Estadual)";"69124562,51";"69124562,5100000054"
"2024";"AP";"Lei Paulo Gustavo (LPG)";"22855000,00";"22855000,0000000000"
"2024";"BA";"Recurso Próprio (Estadual)";"299756029,04";"299756029,0400000215"
"2024";"BA";"Emendas Parlamentares (Cultura)";"288162,18";"288162,1800000001"
"2024";"BA";"Lei Paulo Gustavo (LPG)";"154957789,56";"154957789,5600000024"
"2024";"BA";"PNAB (Aldir Blanc 2)";"3798220,00";"3798220,0000000000"
"2024";"CE";"Recurso Próprio (Estadual)";"270261603,66";"270261603,6600000262"
"2024";"CE";"Lei Paulo Gustavo (LPG)";"99675972,35";"99675972,3499999940"
"2024";"CE";"PNAB (Aldir Blanc 2)";"3114856,00";"3114856,0000000000"
"2024";"DF";"Recurso Próprio (Estadual)";"527111448,25";"527111448,2500000000"
"2024";"DF";"Emendas Parlamentares (Cultura)";"35700,00";"35700,0000000000"
"2024";"DF";"Lei Paulo Gustavo (LPG)";"45127212,00";"45127212,0000000000"
"2024";"DF";"PNAB (Aldir Blanc 2)";"4410417,00";"4410417,0000000000"
"2024";"ES";"Recurso Próprio (Estadual)";"105850797,37";"105850797,3700000048"
"2024";"ES";"Emendas Parlamentares (Cultura)";"414604,00";"414604,0000000000"
"2024";"ES";"Lei Paulo Gustavo (LPG)";"14022173,47";"14022173,4700000007"
"2024";"GO";"Recurso Próprio (Estadual)";"76890195,23";"76890195,2300000042"
"2024";"GO";"Lei Paulo Gustavo (LPG)";"10549181,41";"10549181,4100000001"
"2024";"GO";"PNAB (Aldir Blanc 2)";"47815176,00";"47815176,0000000000"
"2024";"MA";"Recurso Próprio (Estadual)";"285580697,90";"285580697,9000000358"
"2024";"MA";"Lei Paulo Gustavo (LPG)";"87263200,00";"87263200,0000000000"
"2024";"MA";"PNAB (Aldir Blanc 2)";"11728927,13";"11728927,1299999990"
"2024";"MG";"Recurso Próprio (Estadual)";"153957362,61";"153957362,6100000143"
"2024";"MG";"Emendas Parlamentares (Cultura)";"439791,76";"439791,7600000000"
"2024";"MG";"Lei Paulo Gustavo (LPG)";"196539866,55";"196539866,5500000119"
"2024";"MG";"PNAB (Aldir Blanc 2)";"1028087,27";"1028087,2700000000"
"2024";"MS";"Recurso Próprio (Estadual)";"106581494,63";"106581494,6299999952"
"2024";"MS";"Emendas Parlamentares (Cultura)";"958044,04";"958044,0400000000"
"2024";"MS";"Lei Paulo Gustavo (LPG)";"29482865,34";"29482865,3399999999"
"2024";"MS";"PNAB (Aldir Blanc 2)";"291000,00";"291000,0000000000"
"2024";"MT";"Recurso Próprio (Estadual)";"178096649,63";"178096649,6299999952"
"2024";"MT";"Lei Paulo Gustavo (LPG)";"37462533,30";"37462533,2999999970"
"2024";"PA";"Recurso Próprio (Estadual)";"323773178,70";"323773178,6999999881"
"2024";"PB";"Recurso Próprio (Estadual)";"47937139,16";"47937139,1600000039"
"2024";"PB";"Emendas Parlamentares (Cultura)";"113200,00";"113200,0000000000"
"2024";"PB";"Lei Paulo Gustavo (LPG)";"7930710,13";"7930710,1299999999"
"2024";"PB";"PNAB (Aldir Blanc 2)";"8583540,22";"8583540,2200000007"
"2024";"PE";"Recurso Próprio (Estadual)";"382880552,70";"382880552,6999999881"
"2024";"PE";"Lei Paulo Gustavo (LPG)";"205346874,90";"205346874,9000000060"
"2024";"PE";"PNAB (Aldir Blanc 2)";"41884976,88";"41884976,8800000027"
"2024";"PI";"Recurso Próprio (Estadual)";"65822733,46";"65822733,4600000009"
"2024";"PI";"Emendas Parlamentares (Cultura)";"2610000,00";"2610000,0000000000"
"2024";"PI";"Lei Paulo Gustavo (LPG)";"44777356,75";"44777356,7500000000"
"2024";"PI";"PNAB (Aldir Blanc 2)";"1500000,00";"1500000,0000000000"
"2024";"PR";"Recurso Próprio (Estadual)";"123939769,74";"123939769,7399999946"
"2024";"PR";"Lei Paulo Gustavo (LPG)";"100630249,92";"100630249,9200000018"
"2024";"PR";"PNAB (Aldir Blanc 2)";"18036981,95";"18036981,9499999993"
"2024";"RJ";"Recurso Próprio (Estadual)";"259477450,69";"259477450,6899999976"
"2024";"RJ";"PNAB (Aldir Blanc 2)";"62902945,37";"62902945,3699999973"
"2024";"RN";"Recurso Próprio (Estadual)";"43414895,73";"43414895,7299999967"
"2024";"RN";"Lei Paulo Gustavo (LPG)";"6430467,99";"6430467,9900000002"
"2024";"RN";"PNAB (Aldir Blanc 2)";"21942469,23";"21942469,2300000004"
"2024";"RO";"Recurso Próprio (Estadual)";"42500706,45";"42500706,4500000030"
"2024";"RO";"Emendas Parlamentares (Cultura)";"196800,00";"196800,0000000000"
"2024";"RO";"Lei Paulo Gustavo (LPG)";"25168441,03";"25168441,0300000012"
"2024";"RR";"Recurso Próprio (Estadual)";"52526874,02";"52526874,0200000033"
"2024";"RR";"Lei Paulo Gustavo (LPG)";"20435550,16";"20435550,1600000001"
"2024";"RR";"PNAB (Aldir Blanc 2)";"722164,03";"722164,0300000000"
"2024";"RS";"Recurso Próprio (Estadual)";"143189831,35";"143189831,3499999940"
"2024";"RS";"Lei Paulo Gustavo (LPG)";"95385582,94";"95385582,9399999976"
"2024";"SC";"Recurso Próprio (Estadual)";"73877268,37";"73877268,3700000048"
"2024";"SC";"Emendas Parlamentares (Cultura)";"350000,00";"350000,0000000000"
"2024";"SC";"Lei Paulo Gustavo (LPG)";"8275219,04";"8275219,0400000000"
"2024";"SC";"PNAB (Aldir Blanc 2)";"42891020,00";"42891020,0000000000"
"2024";"SE";"Recurso Próprio (Estadual)";"225067405,72";"225067405,7199999988"
"2024";"SE";"Emendas Parlamentares (Cultura)";"9793808,20";"9793808,1999999993"
"2024";"SE";"Lei Paulo Gustavo (LPG)";"71357333,44";"71357333,4399999976"
"2024";"SP";"Recurso Próprio (Estadual)";"1251076964,63";"1251076964,6299998760"
"2024";"SP";"Lei Paulo Gustavo (LPG)";"45272252,60";"45272252,6000000015"
"2024";"SP";"PNAB (Aldir Blanc 2)";"243210000,00";"243210000,0000000000"
"2024";"TO";"Recurso Próprio (Estadual)";"6537725,63";"6537725,6299999999"
"2024";"TO";"Lei Paulo Gustavo (LPG)";"26080250,00";"26080250,0000000000"
"2024";"TO";"PNAB (Aldir Blanc 2)";"16387903,86";"16387903,8599999994"
"2025";"AC";"Recurso Próprio (Estadual)";"49597041,01";"47227741,0580290705"
"2025";"AC";"Lei Paulo Gustavo (LPG)";"187671,25";"178706,0078291683"
"2025";"AC";"PNAB (Aldir Blanc 2)";"16069376,74";"15301726,6390472408"
"2025";"AL";"Recurso Próprio (Estadual)";"43053775,87";"40997054,1982294843"
"2025";"AL";"Lei Paulo Gustavo (LPG)";"510683,73";"486287,8605626000"
"2025";"AL";"PNAB (Aldir Blanc 2)";"33276088,96";"31686457,1116239652"
"2025";"AM";"Recurso Próprio (Estadual)";"613920293,09";"584592710,4094356298"
"2025";"AM";"Emendas Parlamentares (Cultura)";"1957014,25";"1863525,7338686339"
"2025";"AM";"Lei Paulo Gustavo (LPG)";"123934,51";"118014,0352577399"
"2025";"AM";"PNAB (Aldir Blanc 2)";"45711294,17";"43527620,2072796598"
"2025";"AP";"Recurso Próprio (Estadual)";"78631675,98";"74875362,6530568749"
"2025";"AP";"PNAB (Aldir Blanc 2)";"17521438,00";"16684421,4892067164"
"2025";"BA";"Recurso Próprio (Estadual)";"384372245,27";"366010401,0205910802"
"2025";"BA";"Emendas Parlamentares (Cultura)";"1218229,66";"1160033,6181364220"
"2025";"BA";"PNAB (Aldir Blanc 2)";"78244867,05";"74507031,9701580703"
"2025";"CE";"Recurso Próprio (Estadual)";"284240622,94";"270662165,8271221519"
"2025";"CE";"Lei Paulo Gustavo (LPG)";"716082,49";"681874,5176166850"
"2025";"CE";"PNAB (Aldir Blanc 2)";"76679099,41";"73016062,6068032831"
"2025";"DF";"Recurso Próprio (Estadual)";"433487819,59";"412779675,5310129523"
"2025";"DF";"PNAB (Aldir Blanc 2)";"37800153,00";"35994402,1151974946"
"2025";"ES";"Recurso Próprio (Estadual)";"149979327,17";"142814665,6211614907"
