"cod_municipio","municipio","ano","tipo_orgao_gestor","tem_plano","tem_conselho","tem_fundo","tem_lei_patrimonio","tem_cons_patrimonio","equip_biblioteca","equip_museu","equip_teatro","equip_cinema","gestor_sexo","gestor_idade","gestor_cor_raca","gestor_escolaridade","gestor_escolaridade_agrupada","orcamento_perc_executado"
"2517407","Zabelê",2021,"Secretaria em conjunto com outras políticas setoriais","Sim","Sim","Sim","Não","Não","Sim","Não","Não","Não","Feminino","46","Branca","Ensino superior completo","Ensino Médio a Pós-graduação lato sensu","Até 10%"
"2600054","Abreu e Lima",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"2600054","Abreu e Lima",2014,"Secretaria em conjunto com outras políticas","Não","Sim","Não","Não","Não","Sim","Não","Não","Não","Masculino","28",NA,"Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"2600054","Abreu e Lima",2018,"Secretaria em conjunto com outras políticas setoriais","Não","Sim","Não","Não","Não","-","-","-","-","Masculino","32","Preta","Especialização","Ensino Médio a Pós-graduação lato sensu",NA
"2600054","Abreu e Lima",2021,"Secretaria em conjunto com outras políticas setoriais","Não","Sim","Sim","Não","Não","Sim","Não","Sim","Não","Feminino","38","Preta","Ensino superior completo","Ensino Médio a Pós-graduação lato sensu","Sem Informação"
"2600104","Afogados da Ingazeira",2006,"Secretaria municipal em conjunto com outras políticas","Sim","Não","Não","Sim","Não","Sim","Não","Sim","Sim",NA,NA,NA,"Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"2600104","Afogados da Ingazeira",2014,"Secretaria em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Sim","Sim","Sim","Masculino","35",NA,"Ensino superior incompleto","Ensino Médio a Pós-graduação lato sensu",NA
"2600104","Afogados da Ingazeira",2018,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Sim","Não","Sim","Não","Não","Não","Masculino","33","Branca","Especialização","Ensino Médio a Pós-graduação lato sensu",NA
"2600104","Afogados da Ingazeira",2021,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Sim","Não","Sim","Sim","Masculino","58","Branca","Ensino superior completo","Ensino Médio a Pós-graduação lato sensu","51% a 60%"
"2600203","Afrânio",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Sim","Não","Não",NA,NA,NA,"Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"2600203","Afrânio",2014,"Setor subordinado à outra secretaria","Não","Não","Não","Não","Não","Sim","Não","Sim","Não","Feminino","30",NA,"Pós-graduação","Ensino Médio a Pós-graduação lato sensu",NA
"2600203","Afrânio",2018,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Sim","Sim","Não","-","-","-","-","Feminino","51","Branca","Especialização","Ensino Médio a Pós-graduação lato sensu",NA
"2600203","Afrânio",2021,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Sim","Não","Sim","Sim","Não","Não","Feminino","34","Parda","Mestrado","Mestrado e doutorado","21% a 30%"
"2600302","Agrestina",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"2600302","Agrestina",2014,"Secretaria em conjunto com outras políticas","Não","Sim","Não","Sim","Não","Sim","Sim","Sim","Não","Masculino","46",NA,"Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"2600302","Agrestina",2018,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Não","Sim","Sim","Não","Masculino","49","Parda","Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"2600302","Agrestina",2021,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Masculino","53","Branca","Especialização","Ensino Médio a Pós-graduação lato sensu","21% a 30%"
"2600401","Água Preta",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Ensino médio (2º Grau) completo","Ensino Médio a Pós-graduação lato sensu",NA
"2600401","Água Preta",2014,"Secretaria exclusiva","Não","Não","Não","Não","Não","Sim","Sim","Não","Não","Masculino","20",NA,"Ensino médio completo","Ensino Médio a Pós-graduação lato sensu",NA
"2600401","Água Preta",2018,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","-","-","-","-","Masculino","52","Parda","Especialização","Ensino Médio a Pós-graduação lato sensu",NA
"2600401","Água Preta",2021,"Secretaria em conjunto com outras políticas setoriais","Não","Sim","Não","Não","Não","Sim","Não","Não","Não","Masculino","48","Parda","Doutorado","Mestrado e doutorado","Sem Informação"
"2600500","Águas Belas",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"2600500","Águas Belas",2014,"Secretaria em conjunto com outras políticas","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Não","Masculino","58",NA,"Pós-graduação","Ensino Médio a Pós-graduação lato sensu",NA
"2600500","Águas Belas",2018,"Secretaria em conjunto com outras políticas setoriais","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Não","Masculino","62","Indígena","Especialização","Ensino Médio a Pós-graduação lato sensu",NA
"2600500","Águas Belas",2021,"Secretaria em conjunto com outras políticas setoriais","Sim","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Feminino","49","Branca","Ensino superior incompleto","Ensino Médio a Pós-graduação lato sensu","Sem Informação"
"2600609","Alagoinha",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Sim","Não","Sim","Não","Não","Não",NA,NA,NA,"Ensino superior incompleto","Ensino Médio a Pós-graduação lato sensu",NA
"2600609","Alagoinha",2014,"Secretaria exclusiva","Sim","Não","Não","Sim","Não","Sim","Não","Não","Não","Masculino","41",NA,"Ensino médio completo","Ensino Médio a Pós-graduação lato sensu",NA
"2600609","Alagoinha",2018,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Sim","Não","Sim","Não","Não","Não","Masculino","45","Parda","Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"2600609","Alagoinha",2021,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Sim","Não","Sim","Não","Não","Não","Masculino","49","Branca","Ensino superior completo","Ensino Médio a Pós-graduação lato sensu","51% a 60%"
"2600708","Aliança",2006,"Secretaria municipal em conjunto com outras políticas","Sim","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Ensino superior incompleto","Ensino Médio a Pós-graduação lato sensu",NA
