"cod_municipio","municipio","cod_uf","uf","regiao","ano","populacao","tipo_orgao_gestor","tem_plano","tem_conselho","tem_fundo","tem_lei_patrimonio","tem_cons_patrimonio","equip_biblioteca","equip_museu","equip_teatro","equip_cinema","gestor_sexo","gestor_idade","gestor_cor_raca","gestor_escolaridade","gestor_idade_num","gestor_faixa_etaria","gestor_cor_raca_limpa","gestor_grupo_raca","gestor_escolaridade_agrupada","plano_tem_lei","plano_participacao_soc","sec_educacao","sec_esporte","sec_turismo","cons_qtd_membros","cons_cap_continuada","cons_cap_eventual","cons_cap_nao_realiza","orcamento_perc_executado"
"2508109","Lagoa","25","PB","Nordeste",2021,4640,"Secretaria exclusiva","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Masculino","26","Parda","Ensino médio (2º Grau) incompleto",26,"Até 29 anos","Parda","Negros (Pretos e Pardos)","Ensino Médio","Não","Não","Não","Não","Não",NA,"Não","Não","Não","Sem Informação"
"2508208","Lagoa de Dentro","25","PB","Nordeste",2006,NA,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Ensino superior completo",NA,NA,NA,NA,"Ensino Superior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2508208","Lagoa de Dentro","25","PB","Nordeste",2014,NA,"Não possui estrutura","Não","Não","Não","Não","Não","Sim","Não","Não","Não","-","-",NA,"-",NA,NA,NA,NA,"Sem Informação",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2508208","Lagoa de Dentro","25","PB","Nordeste",2018,NA,"Secretaria exclusiva","Não","Não","Não","Não","Não","Não","Não","Sim","Sim","Masculino","25","Parda","Ensino superior completo",25,"Até 29 anos","Parda","Negros (Pretos e Pardos)","Ensino Superior","Não","Não","Não","Não","Não",NA,"Não","Não","Não",NA
"2508208","Lagoa de Dentro","25","PB","Nordeste",2021,7754,"Secretaria em conjunto com outras políticas setoriais","Não","Sim","Sim","Não","Não","Não","Não","Não","Não","Feminino","34","Branca","Especialização",34,"30 a 39 anos","Branca","Brancos","Pós-Graduação","Não","Não","Não","Não","Não",NA,"Não","Não","Não","Mais de 90%"
"2508307","Lagoa Seca","25","PB","Nordeste",2006,NA,"Secretaria municipal em conjunto com outras políticas","Sim","Não","Não","Não","Não","Sim","Sim","Sim","Não",NA,NA,NA,"Pós-graduação",NA,NA,NA,NA,"Pós-Graduação",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2508307","Lagoa Seca","25","PB","Nordeste",2014,NA,"Secretaria em conjunto com outras políticas","Não","Sim","Não","Não","Não","Sim","Sim","Sim","Não","Masculino","33",NA,"Ensino fundamental completo",33,"30 a 39 anos",NA,NA,"Ensino Fundamental",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2508307","Lagoa Seca","25","PB","Nordeste",2018,NA,"Secretaria em conjunto com outras políticas setoriais","Não","Sim","Não","Não","Não","Não","Não","Não","Não","Masculino","33","Parda","Ensino superior completo",33,"30 a 39 anos","Parda","Negros (Pretos e Pardos)","Ensino Superior","Não","Não","Não","Não","Não",20,"Não","Não","Sim",NA
"2508307","Lagoa Seca","25","PB","Nordeste",2021,27728,"Setor subordinado diretamente  à chefia do Executivo","Não","Sim","Não","Não","Não","Sim","Não","Não","Não","Masculino","40","Parda","Ensino médio (2º Grau) completo",40,"40 a 49 anos","Parda","Negros (Pretos e Pardos)","Ensino Médio","Não","Não","Não","Não","Não",NA,"Não","Não","Não","Sem Informação"
"2508406","Lastro","25","PB","Nordeste",2006,NA,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Ensino superior completo",NA,NA,NA,NA,"Ensino Superior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2508406","Lastro","25","PB","Nordeste",2014,NA,"Secretaria exclusiva","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Feminino","27",NA,"Ensino superior completo",27,"Até 29 anos",NA,NA,"Ensino Superior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2508406","Lastro","25","PB","Nordeste",2018,NA,"Não possui estrutura","Não","Não","Não","Não","Não","-","-","-","-","-","-","-","-",NA,NA,NA,NA,"Sem Informação","Não","Não","Não","Não","Não",NA,"Não","Não","Não",NA
"2508406","Lastro","25","PB","Nordeste",2021,2698,"Secretaria exclusiva","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Feminino","37","Parda","Ensino superior completo",37,"30 a 39 anos","Parda","Negros (Pretos e Pardos)","Ensino Superior","Não","Não","Não","Não","Não",NA,"Não","Não","Não","71% a 80%"
"2508505","Livramento","25","PB","Nordeste",2006,NA,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Pós-graduação",NA,NA,NA,NA,"Pós-Graduação",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2508505","Livramento","25","PB","Nordeste",2014,NA,"Secretaria exclusiva","Não","Não","Não","Sim","Não","Sim","Sim","Não","Não","Masculino","19",NA,"Ensino médio completo",19,"Até 29 anos",NA,NA,"Ensino Médio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2508505","Livramento","25","PB","Nordeste",2018,NA,"Secretaria em conjunto com outras políticas setoriais","Não","Sim","Não","Sim","Sim","-","-","-","-","Feminino","23","Parda","Ensino superior completo",23,"Até 29 anos","Parda","Negros (Pretos e Pardos)","Ensino Superior","Não","Não","Não","Não","Não",14,"Não","Não","Sim",NA
"2508505","Livramento","25","PB","Nordeste",2021,7274,"Secretaria em conjunto com outras políticas setoriais","Não","Sim","Sim","Sim","Sim","Não","Sim","Não","Não","Masculino","52","Branca","Ensino superior completo",52,"50 a 59 anos","Branca","Brancos","Ensino Superior","Não","Não","Não","Não","Não",6,"Não","Não","Sim","Sem Informação"
"2508554","Logradouro","25","PB","Nordeste",2006,NA,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Ensino superior incompleto",NA,NA,NA,NA,"Ensino Superior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
